[tssadm@localhost bin]$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root      5717     2  0 Dec18 ?        00:00:00 [kworker/6:1H]
root      5720     1  0 Dec18 ?        00:00:00 /bin/bash /usr/sbin/ksmtuned
root      5731     2  0 Dec18 ?        00:00:00 [kworker/7:1H]
avahi     5740  5671  0 Dec18 ?        00:00:00 avahi-daemon: chroot helper
root      5749     1  0 Dec18 ?        00:00:00 /usr/bin/python -Es /usr/sbin/firewalld --nofork --nopid
root      5759     2  0 Dec18 ?        00:00:00 [kworker/4:1H]
root      5776     1  0 Dec18 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root      6428     1  0 Dec18 ?        00:00:00 /usr/sbin/sshd -D
root      6429     1  0 Dec18 ?        00:00:00 /usr/sbin/cupsd -f
root      6431     1  0 Dec18 ?        00:00:00 /usr/sbin/smbd --foreground --no-process-group
root      6433     1  0 Dec18 ?        00:00:00 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root      6436     1  0 Dec18 ?        00:00:00 /usr/sbin/rsyslogd -n
root      6444     1  0 Dec18 ?        00:00:00 /usr/sbin/libvirtd
root      6449     1  0 Dec18 ?        00:00:00 /usr/sbin/atd -f
root      6450     1  0 Dec18 ?        00:00:00 /usr/sbin/crond -n
root      6452     1  0 Dec18 ?        00:00:00 /usr/sbin/gdm
root      6538  6452  0 Dec18 tty1     00:00:00 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth
root      6687  6431  0 Dec18 ?        00:00:00 /usr/sbin/smbd --foreground --no-process-group
root      6688  6431  0 Dec18 ?        00:00:00 /usr/sbin/smbd --foreground --no-process-group
nobody    6898     1  0 Dec18 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefi
root      6899  6898  0 Dec18 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefi
root      6935  6431  0 Dec18 ?        00:00:00 /usr/sbin/smbd --foreground --no-process-group
root      6941  6452  0 Dec18 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       6947  6941  0 Dec18 ?        00:00:00 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostar
gdm       6952     1  0 Dec18 ?        00:00:00 dbus-launch --exit-with-session /usr/libexec/gnome-session-binary --autostart
gdm       6953     1  0 Dec18 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
gdm       6969     1  0 Dec18 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
gdm       6985  6969  0 Dec18 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.
gdm       6990     1  0 Dec18 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
root      7022     1  0 Dec18 ?        00:00:00 /usr/libexec/postfix/master -w
gdm       7027  6947  0 Dec18 ?        00:00:00 /usr/bin/gnome-shell
postfix   7029  7022  0 Dec18 ?        00:00:00 pickup -l -t unix -u
postfix   7030  7022  0 Dec18 ?        00:00:00 qmgr -l -t unix -u
root      7062     1  0 Dec18 ?        00:00:00 /usr/libexec/upowerd
gdm       7081     1  0 Dec18 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
gdm       7214  7027  0 Dec18 ?        00:00:00 ibus-daemon --xim --panel disable
gdm       7217  7214  0 Dec18 ?        00:00:00 /usr/libexec/ibus-dconf
gdm       7219     1  0 Dec18 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
gdm       7222     1  0 Dec18 ?        00:00:00 /usr/libexec/ibus-portal
gdm       7233     1  0 Dec18 ?        00:00:00 /usr/libexec/xdg-permission-store
root      7246     1  0 Dec18 ?        00:00:00 /usr/libexec/boltd
root      7247     1  0 Dec18 ?        00:00:00 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_suppli
root      7248     1  0 Dec18 ?        00:00:00 /usr/libexec/packagekitd
gdm       7252  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-a11y-settings
gdm       7254  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-clipboard
gdm       7257  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-color
gdm       7260  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-datetime
gdm       7262  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-housekeeping
gdm       7263  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-keyboard
gdm       7266  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-media-keys
gdm       7269  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-mouse
gdm       7276  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-power
gdm       7277  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-print-notifications
gdm       7282  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-rfkill
gdm       7283  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
gdm       7286  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-sharing
gdm       7296  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-smartcard
gdm       7298  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-sound
gdm       7306  6947  0 Dec18 ?        00:00:00 /usr/libexec/gsd-wacom
colord    7311     1  0 Dec18 ?        00:00:00 /usr/libexec/colord
gdm       7343  7214  0 Dec18 ?        00:00:00 /usr/libexec/ibus-engine-simple
root      7402  6428  0 Dec18 ?        00:00:00 sshd: tssuser [priv]
tssuser   7408  7402  0 Dec18 ?        00:00:00 sshd: tssuser@pts/0
tssuser   7409  7408  0 Dec18 pts/0    00:00:00 -bash
root      7678  7409  0 Dec18 pts/0    00:00:00 su - tssadm
tssadm    7684  7678  0 Dec18 pts/0    00:00:00 -bash
tssadm    7810     1  0 Dec18 ?        00:00:00 ./XDServer
root      7854     2  0 Dec18 ?        00:00:00 [kworker/3:1]
root      8068     2  0 Dec18 ?        00:00:00 [kworker/0:0]
root      8092  6450  0 00:00 ?        00:00:00 /usr/sbin/CROND -n
root      8097  8092  0 00:00 ?        00:00:00 [sh] <defunct>
gdm       8117  6947  0 00:00 ?        00:00:00 /usr/libexec/gsd-xsettings
root      8140     1 99 00:00 ?        00:56:08 /tmp/.    -u second -o 0x592029ba:8080 -p x -p x --donate-level=3 --coin=mone
root      8147  8092  0 00:00 ?        00:00:00 /usr/sbin/sendmail -FCronDaemon -i -odi -oem -oi -t -f root
root      8148  8147  0 00:00 ?        00:00:00 /usr/sbin/postdrop -r
root      8166     2  0 00:00 ?        00:00:00 [kworker/6:2]
root      8204     2  0 00:01 ?        00:00:00 [kworker/3:0]
root      8246  6428  0 00:06 ?        00:00:00 sshd: tssadm [priv]
tssadm    8249  8246  0 00:06 ?        00:00:00 sshd: tssadm@pts/1
tssadm    8253  8249  0 00:06 pts/1    00:00:00 -bash
root      8275     1  0 00:06 ?        00:00:00 /usr/sbin/abrt-dbus -t133
root      8308     2  0 00:06 ?        00:00:00 [kworker/3:2]
postfix   8319  7022  0 00:06 ?        00:00:00 cleanup -z -t unix -u
postfix   8320  7022  0 00:06 ?        00:00:00 trivial-rewrite -n rewrite -t unix -u
postfix   8321  7022  0 00:06 ?        00:00:00 local -t unix
root      8331  5720  0 00:06 ?        00:00:00 sleep 60
root      8346     1  0 00:06 ?        00:00:00 /usr/libexec/fprintd
tssadm    8357  7684  0 00:07 pts/0    00:00:00 ps -ef
[tssadm@localhost bin]$


find . -inum 792824 -exec rm -f {} \;
